ROWID,Country,State LGD Code,State,District LGD Code,District,Year,Ground Water Station Name,Ground Water Station Latitude,Ground Water Station Longitude,Amount of Arsenic,Amount of carbonate,Amount of Calcium,Amount of Chloride,Amount of Electrical Conductivity,Amount of Fluorine,Amount of Iron,Amount of Hydrogencarbonate,Amount of Potassium,Amount of Magnesium,Amount of Nitrate,Amount of Sodium,Percentage of Sodium,Amount of Phosphate Ion,Amount of Residual Sodium Carbonate,Amount of Sodium absorption ratio,Amount of Sulfate,Amount of Silicon dioxide,Amount of Hardness Total,Amount of Alkalinity Total,Amount of Total Dissolved Solids,Amount of Potential of Hydrogen,Mark for Deletion
134857,India,28,Andhra Pradesh,502,Anantapur,2011,Adivi Brahmanapalli,14.35333333,78.0375,,,34,121,1537,2.1,,494,4,58.39,180,216,,,3.2,5.21,77,,325,404.9,,7.89,No
134858,India,28,Andhra Pradesh,502,Anantapur,2011,Alampur,14.19166667,78.16388889,,,24,149,1189,3.8,,415,4,29.2,2,200,,,6.4,6.48,58,,180,340.2,,7.92,No
134859,India,28,Andhra Pradesh,502,Anantapur,2011,Amidala,14.84166667,77.25,,,114,238,1850,0.14,,226,160,47.55,370,120,,,,2.38,125,,480,185.3,,7.6,No
134860,India,28,Andhra Pradesh,502,Anantapur,2011,Anantapur-alt-1,14.675,77.60833333,,,,,,,,,,,,,,,,,,,,,,,No
134861,India,28,Andhra Pradesh,502,Anantapur,2011,Batrepally 2013DW,14.25083333,78.18027778,,,,,,,,,,,,,,,,,,,,,,,No
134862,India,28,Andhra Pradesh,502,Anantapur,2011,Bontula Dinne,14.84166667,78.09333333,,,88,1560,9990,0.8,,781,176,175.4,600,1748,,,,24.79,1560,,941,640.2,,7.87,No
134863,India,28,Andhra Pradesh,502,Anantapur,2011,Bontula Dinne1,14.84166667,78.09333333,,,,,,,,,,,,,,,,,,,,,,,No
134864,India,28,Andhra Pradesh,502,Anantapur,2011,Budipalli,13.96666667,77.16666667,,,38,43,662,1.8,,201,1,17.07,95,76,,,,2.57,24,,165,164.8,,7.82,No
134865,India,28,Andhra Pradesh,502,Anantapur,2011,Chilkamattur,13.85,77.73333333,,,,,,,,,,,,,,,,,,,,,,,No
134866,India,28,Andhra Pradesh,502,Anantapur,2011,Chilkamattur1,13.85,77.73333333,,,,,,,,,,,,,,,,,,,,,,,No
134867,India,28,Andhra Pradesh,502,Anantapur,2011,D.cheruvu,14.07916667,78.35555556,,,,,,,,,,,,,,,,,,,,,,,No
134868,India,28,Andhra Pradesh,502,Anantapur,2011,Dharmavaram,14.41166667,77.72,,,20,60,661,1.2,,287,5,20.69,4,99,,,4,3.71,24,,135,235.3,,8.13,No
134869,India,28,Andhra Pradesh,502,Anantapur,2011,Gooty-alt,15.11666667,77.64305556,,,48,326,2017,0.03,,659,133,46.25,9,258,,,9.2,6.37,29,,310,540.2,,7.86,No
134870,India,28,Andhra Pradesh,502,Anantapur,2011,Gorantla,13.98333333,77.76666667,,,,,,,,,,,,,,,,,,,,,,,No
