ROWID,Country,StateLGDCode,State,DistrictLGDCode,District,Year,OBJECTID *,OBJECTID *,Ground Water Station Name,y,x,Amount of Arsenic,Amount of carbonate,Amount of Calcium,Amount of Chloride,Amount of Electrical Conductivity,Amount of Fluorine,Amount of Iron,Amount of Hydrogencarbonate,Amount of Potassium,Amount of Magnesium,Amount of Nitrate,Amount of Sodium,Percentage of Sodium,Amount of Phosphate Ion,Amount of Residual Sodium Carbonate,Amount of Sodium absorption ratio,Amount of Sulfate,Amount of Silicon dioxide,Amount of Hardness Total,Amount of Alkalinity Total,Amount of Total Dissolved Solids,Amount of Potential of Hydrogen,Mark for Deletion
180425,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,1,1,Annikat,11.708611,92.65, , ,32,50,431, ,0.02,195,0.7,21.92,1,34,, , ,1.13,27, ,170, , ,7.6,No
180426,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,2,2,Austinabad Port Blair,11.624722,92.730278,, ,20,32,311, , ,110,2.5,10.97, ,21,, ,  ,0.94,8, ,95, , ,7.6,No
180427,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,3,3,Bambooflat,11.705556,92.715833, , ,46,28,514, , ,342,2.2,8.57, ,81,, , ,2.87,2, ,150, , ,7.8,No
180428,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,4,4,Beadnabad Tubewell,11.536944,92.722778, , ,44,32,449, ,0.04,268,1.9,21.94,1,26,, , ,0.8,12, ,200, , ,7.8,No
180429,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,5,5,Bharatpur I,11.830278,93.02, , ,146,67,885,0.17, ,445,2.5,5.04, ,59,, , ,1.31,27, ,385, , ,7.7,No
180430,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,6,6,Bharatpur II,11.825,93.02, , ,96,57,829,0.2,0.02,366,4.6,18.35,2,71,, , ,1.74,63, ,315, , ,7.7,No
180432,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,7,8,Brichganj,11.611111,92.7425, , ,36,14,289,0.47,0.02,189,0.2,12.2,3,12,, , ,0.44,5,  ,140, , ,7.8,No
180433,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,8,9,Brookshabad,11.635556,92.735278, , ,60,18,433, , ,92,1.3,19.52, ,28,, , ,0.8,4, ,230, , ,8,No
180434,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,9,10,Burmanala,11.526944,92.722778, , ,38,21,325, ,0.06,195,0.2,13.42,2,21,, , ,0.74,5, ,150, , ,7.6,No
180435,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,10,11,Calicut,11.540833,92.725, , ,52,25,396, ,0.04,238,0.7,4.93,5,21,, , ,0.74,7, ,150, , ,7.8,No
180437,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,12,13,Chidiyatapur,11.509444,92.702222, , ,44,28,641, ,0.01,342,0.5,58.41, ,24,, , ,0.56,2, ,350, , ,7.6,No
180438,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,13,14,Corbyns cove port blair,11.643889,92.745556, , ,94,248,1200, ,0.004,354,6,22, ,150,, , ,3.61,14, ,325, , ,7.8,No
180439,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,14,15,Culicut Borewell,11.538056,92.723611, , ,66,25,458,0.06,0.24,299,0.3,12.24, ,19,, , ,0.56,8, ,215, , ,8.1,No
180440,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,15,16,Dandas Point,11.67,92.699444, , ,36,53,437,0.01, ,165,3,15,1,35,,  , ,1.24,25, ,105, , ,7.5,No
180443,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,18,19,Dolphine Yatri Nivas,12.025833,93.001389, , ,66,25,454,0.4,0.01,293,5.8,15.88, ,21,, , ,0.6,30, ,230, , ,7.6,No
180445,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,20,21,Garachamra,11.618056,92.710556, , ,66,35,654,0.08,0.21,256,0.6,35.33,3,40,, , ,0.99,96, ,310, , ,7.7,No
180446,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,21,22,Govindnagar Vill No I,12.003056,92.985833, , ,80,42,689,0.24,0.03,348,4.7,11.04, ,65,, , ,1.8,55, ,245, , ,7.6,No
180447,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,22,23,Govindnagar Vill No Iii,11.985833,92.987778, , ,66,25,465,0.11,0.03,262,2.6,8.59,1,32,, , ,0.98,28,             ,200, , ,7.7,No
180448,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,23,24,Gupta Para,11.574167,92.664167, , ,8,18,140,  ,0.04,85,1,7.3, ,16,, , ,0.98,4,  ,50, , ,7.8,No
180450,India,35,Andaman And Nicobar Islands,602,South Andamans,2011,25,26,Hasunatabad,11.595,92.645278, , ,14,35,158, , ,421,1.8,6.1,1,19,, , ,1.07,19, ,60, , ,7.8,No
