ROWID,Country,StateLGDCode,State,DistrictLGDCode,District,Year,OBJECTID *,OBJECTID *,Ground Water Station Name,y,x,Amount of Arsenic,Amount of carbonate,Amount of Calcium,Amount of Chloride,Amount of Electrical Conductivity,Amount of Fluorine,Amount of Iron,Amount of Hydrogencarbonate,Amount of Potassium,Amount of Magnesium,Amount of Nitrate,Amount of Sodium,Percentage of Sodium,Amount of Phosphate Ion,Amount of Residual Sodium Carbonate,Amount of Sodium absorption ratio,Amount of Sulfate,Amount of Silicon dioxide,Amount of Hardness Total,Amount of Alkalinity Total,Amount of Total Dissolved Solids,Amount of Potential of Hydrogen,Mark for Deletion
134857,India,28,Andhra Pradesh,502,Anantapur,2011,713,897,Adivi Brahmanapalli,14.353333,78.0375, , ,34,121,1537,2.1, ,494,4,58.39,180,216, , ,3.2,5.21,77, ,325,404.9, ,7.89,No
134858,India,28,Andhra Pradesh,502,Anantapur,2011,714,898,Alampur,14.191667,78.163889, , ,24,149,1189,3.8, ,415,4,29.2,2,200, , ,6.4,6.48,58, ,180,340.2, ,7.92,No
134859,India,28,Andhra Pradesh,502,Anantapur,2011,715,899,Amidala,14.841667,77.25, , ,114,238,1850,0.14, ,226,160,47.55,370,120, , , ,2.38,125, ,480,185.3, ,7.6,No
134862,India,28,Andhra Pradesh,502,Anantapur,2011,718,902,Bontula Dinne,14.841667,78.093333, , ,88,1560,9990,0.8, ,781,176,175.4,600,1748, , , ,24.79,1560, ,941,640.2, ,7.87,No
134864,India,28,Andhra Pradesh,502,Anantapur,2011,720,904,Budipalli,13.966667,77.166667, , ,38,43,662,1.8, ,201,1,17.07,95,76, , , ,2.57,24, ,165,164.8, ,7.82,No
134868,India,28,Andhra Pradesh,502,Anantapur,2011,724,908,Dharmavaram,14.411667,77.72, , ,20,60,661,1.2, ,287,5,20.69,4,99, , ,4,3.71,24, ,135,235.3, ,8.13,No
134869,India,28,Andhra Pradesh,502,Anantapur,2011,725,909,Gooty-alt,15.116667,77.643056, , ,48,326,2017,0.03, ,659,133,46.25,9,258, , ,9.2,6.37,29, ,310,540.2, ,7.86,No
134871,India,28,Andhra Pradesh,502,Anantapur,2011,727,911,Govinavaripalli,13.975,77.877778, , ,62,64,862,2.1, ,287,9,20.74,69,81, , , ,2.27,38, ,240,235.3, ,7.64,No
134875,India,28,Andhra Pradesh,502,Anantapur,2011,731,915,Guntakal2,15.168056,77.376389, , ,56,355,2635,0.37, ,390,297,63.28,299,225, , ,  ,4.89,192, ,400,319.7, ,7.8,No
134876,India,28,Andhra Pradesh,502,Anantapur,2011,732,916,Ingaluru,14.047222,78.038889, , ,88,319,2727,0.5, ,744,282,32.93,200,313, , ,10.18,7.23,161, ,355,609.8, ,8.25,No
134879,India,28,Andhra Pradesh,502,Anantapur,2011,734,919,Kalyandurg-alt,14.546667,77.11, , ,16,85,1276,4.5, ,659,1,34.06,2,239, , ,14.4,7.75,29, ,180,540.2, ,8.19,No
134885,India,28,Andhra Pradesh,502,Anantapur,2011,737,925,Korrapadu,14.753333,77.713333, , ,136,425,2147,0.58, ,220,1,85.5,149,166, , , ,2.75,144, ,691,180.3, ,7.4,No
134886,India,28,Andhra Pradesh,502,Anantapur,2011,738,926,Kothapalem,13.883333,77.133333, , ,40,50,644,1.8, ,244,1,32.87,20,46, , , ,1.31,46, ,235,200, ,7.87,No
134892,India,28,Andhra Pradesh,502,Anantapur,2011,743,932,Madakasira1,13.958333,77.241667, , ,88,206,1550,0.37, ,348,47,23.2,149,184, , , ,4.51,77, ,315,285.3, ,7.97,No
134893,India,28,Andhra Pradesh,502,Anantapur,2011,744,933,Malakavemula-rs,14.27,78.0575, , ,26,103,1080,1.5, ,354,1,65.68,60,97, , , ,2.31,58, ,335,290.2, ,8.02,No
134901,India,28,Andhra Pradesh,502,Anantapur,2011,752,941,Narpala(sultanpet).1,14.705833,77.822222, ,   ,120,702,3226,0.97, ,268,27,146.27,100,322, ,  ,  ,4.67,326, ,901,219.7, ,7.28,No
134902,India,28,Andhra Pradesh,502,Anantapur,2011,753,942,Nilakanthapuram,13.916667,77.2, , ,44,206,1336,1.2, ,305,1,74.21,120,147, , ,  ,3.14,96, ,415,250, ,7.78,No
134906,India,28,Andhra Pradesh,502,Anantapur,2011,756,946,Palasamudram,13.972778,77.731389, , ,50,188,1820,0.78, ,604,164,14.65,100,244, , ,12.4,7.8,75, ,185,495.1, ,8.12,No
134910,India,28,Andhra Pradesh,502,Anantapur,2011,760,950,Penukonda,14.072222,77.581667, , ,20,181,1710,1.2, ,598,12,37.71,100,317, , ,11.4,9.63,83, ,205,490.2, ,7.95,No
134914,India,28,Andhra Pradesh,502,Anantapur,2011,763,954,Rayadurg-new,14.7,76.85, , ,58,156,1260,0.39, ,226,15,17.09,180,179, , , ,5.31,72, ,215,185.3, ,8,No
134916,India,28,Andhra Pradesh,502,Anantapur,2011,765,956,Reddipalli,14.216667,78, , ,56,50,734,2.4, ,262,1,24.38,69,71, , , ,1.99,53, ,240,214.8, ,7.8,No
134917,India,28,Andhra Pradesh,502,Anantapur,2011,766,957,Rolla,13.85,77.1, , ,30,71,569,0.37, ,183,4,20.7,20,58, , , ,1.99,24, ,160,150, ,7.79,No
134924,India,28,Andhra Pradesh,502,Anantapur,2011,774,965,Vajrakarur,15.008333,77.416667, , ,100,103,1460,0.87, ,177,2,47.53,130,138, , , ,2.85,336, ,445,145.1, ,7.72,No
134925,India,28,Andhra Pradesh,502,Anantapur,2011,775,966,Waddipalli,14.671667,77.458333, , ,28,333,2289,1.8, ,433,4,36.5,120,446, , ,5.4,13.08,252, ,220,354.9, ,7.9,No
134997,India,28,Andhra Pradesh,502,Anantapur,2013,839,1037,Adivi Brahmanapalli,14.353333,78.0375, , ,28,142,1621,1.91, ,506,3,76.62,184,220, , ,1.18,4.88,84, ,385,414.8, ,7.98,No
134998,India,28,Andhra Pradesh,502,Anantapur,2013,840,1038,Alampur,14.191667,78.163889, , ,20,181,1370,3.4, ,415,3,42.57, ,210, , ,4.6,6.09,75, ,225,340.2, ,8.18,No
134999,India,28,Andhra Pradesh,502,Anantapur,2013,841,1039,Amidala,14.841667,77.25, , ,116,202,1690,0.17, ,232,140,36.61,226,70, , , ,1.45,80, ,440,190.2, ,7.48,No
135001,India,28,Andhra Pradesh,502,Anantapur,2013,843,1041,Batrepally 2013DW,14.250833,78.180278, , ,32,163,1373,1.6, ,378,14,46.23,23,185, ,  ,1.6,4.9,118, ,270,309.8, ,8,No
135002,India,28,Andhra Pradesh,502,Anantapur,2013,844,1042,Bontula Dinne,14.841667,78.093333, ,  ,42,241,1876,0.55, ,366,7,35.31,31,305, ,  ,2,8.39,240, ,250,300, ,7.94,No
135004,India,28,Andhra Pradesh,502,Anantapur,2013,846,1044,Budipalli,13.966667,77.166667, , ,26,128,1060,4.25, ,311,1,24.34,39,170, ,  ,3.6,5.76,48, ,165,254.9, ,8.04,No
