ROWID,Country,State LGD Code,State,District LGD Code,District,Year,Ground Water Station Name,Ground Water Station Latitude,Ground Water Station Longitude,Amount of Arsenic,Amount of carbonate,Amount of Calcium,Amount of Chloride,Amount of Electrical Conductivity,Amount of Fluorine,Amount of Iron,Amount of Hydrogencarbonate,Amount of Potassium,Amount of Magnesium,Amount of Nitrate,Amount of Sodium,Percentage of Sodium,Amount of Phosphate Ion,Amount of Residual Sodium Carbonate,Amount of Sodium absorption ratio,Amount of Sulfate,Amount of Silicon dioxide,Amount of Hardness Total,Amount of Alkalinity Total,Amount of Total Dissolved Solids,Amount of Potential of Hydrogen,Mark for Deletion
29296,India,9,Uttar Pradesh,118,Agra,2011,Lohkhera,27.21944444,77.84722222,,,,,,,,,,,,,,,,,,,,,,,No
29281,India,9,Uttar Pradesh,118,Agra,2011,Bah road,26.89305556,78.49722222,,,,,,,,,,,,,,,,,,,,,,,No
29282,India,9,Uttar Pradesh,118,Agra,2011,Bhara (jagnair),26.8375,77.49027778,,,,,,,,,,,,,,,,,,,,,,,No
29284,India,9,Uttar Pradesh,118,Agra,2011,Fatehabad,27.01666667,78.315,,,,,,,,,,,,,,,,,,,,,,,No
29285,India,9,Uttar Pradesh,118,Agra,2011,Fatehpur sikri,27.09166667,77.66833333,,,,,,,,,,,,,,,,,,,,,,,No
29286,India,9,Uttar Pradesh,118,Agra,2011,Gangapur Basai,26.81666667,77.45,,,,,,,,,,,,,,,,,,,,,,,No
29287,India,9,Uttar Pradesh,118,Agra,2011,Gautam Nagar,27.04166667,78.25,,,,,,,,,,,,,,,,,,,,,,,No
29288,India,9,Uttar Pradesh,118,Agra,2011,Gopalpura,26.90166667,78.475,,,,,,,,,,,,,,,,,,,,,,,No
29289,India,9,Uttar Pradesh,118,Agra,2011,Itimadpur,27.23333333,78.2,,,,,,,,,,,,,,,,,,,,,,,No
29290,India,9,Uttar Pradesh,118,Agra,2011,Kagraul,27.02361111,77.85,,,,,,,,,,,,,,,,,,,,,,,No
29291,India,9,Uttar Pradesh,118,Agra,2011,Kakua,27.07388889,77.98333333,,,,,,,,,,,,,,,,,,,,,,,No
29292,India,9,Uttar Pradesh,118,Agra,2011,Kheragarh,26.93333333,77.8,,,,,,,,,,,,,,,,,,,,,,,No
29293,India,9,Uttar Pradesh,118,Agra,2011,Khundauli,27.31166667,78.02666667,,,,,,,,,,,,,,,,,,,,,,,No
29294,India,9,Uttar Pradesh,118,Agra,2011,Kiraoli,27.14555556,77.77,,,,,,,,,,,,,,,,,,,,,,,No
29295,India,9,Uttar Pradesh,118,Agra,2011,Kolua,26.96111111,77.75222222,,,,,,,,,,,,,,,,,,,,,,,No
29297,India,9,Uttar Pradesh,118,Agra,2011,Malpura,27.11666667,77.925,,,,,,,,,,,,,,,,,,,,,,,No
29298,India,9,Uttar Pradesh,118,Agra,2011,Mewli (bhara),26.85833333,77.6,,,,,,,,,,,,,,,,,,,,,,,No
29299,India,9,Uttar Pradesh,118,Agra,2011,Nagla Udaiya,26.94166667,77.84166667,,,,,,,,,,,,,,,,,,,,,,,No
29300,India,9,Uttar Pradesh,118,Agra,2011,Natauli,26.83333333,78.70333333,,,,,,,,,,,,,,,,,,,,,,,No
29301,India,9,Uttar Pradesh,118,Agra,2011,Paitikhera Bagh,27.23333333,77.83333333,,,,,,,,,,,,,,,,,,,,,,,No
29302,India,9,Uttar Pradesh,118,Agra,2011,Pinahat,26.88472222,78.37916667,,,,,,,,,,,,,,,,,,,,,,,No
29303,India,9,Uttar Pradesh,118,Agra,2011,Saiyan,26.94166667,77.92777778,,,,,,,,,,,,,,,,,,,,,,,No
29304,India,9,Uttar Pradesh,118,Agra,2011,Samai,27.3,78.19444444,,,,,,,,,,,,,,,,,,,,,,,No
29305,India,9,Uttar Pradesh,118,Agra,2011,Sarendhi Chauraha,27.13333333,77.7625,,,,,,,,,,,,,,,,,,,,,,,No
29306,India,9,Uttar Pradesh,118,Agra,2011,Sehta Thapi,27.17833333,77.81833333,,,,,,,,,,,,,,,,,,,,,,,No
29307,India,9,Uttar Pradesh,118,Agra,2011,Shahganj Prithvi Nath,27.17083333,77.96666667,,,,,,,,,,,,,,,,,,,,,,,No
29308,India,9,Uttar Pradesh,118,Agra,2011,Zaitpurkalan,26.83,78.7,,,,,,,,,,,,,,,,,,,,,,,No
29309,India,9,Uttar Pradesh,118,Agra,2012,Bah road,27.80666667,78.275,,,,,,,,,,,,,,,,,,,,,,,No
29310,India,9,Uttar Pradesh,118,Agra,2012,Bhara (jagnair),27.9,78.08333333,,,,,,,,,,,,,,,,,,,,,,,No
29312,India,9,Uttar Pradesh,118,Agra,2012,Fatehabad,27.91833333,77.91888889,,,,,,,,,,,,,,,,,,,,,,,No
29313,India,9,Uttar Pradesh,118,Agra,2012,Fatehpur sikri,27.925,78.43833333,,,,,,,,,,,,,,,,,,,,,,,No
29314,India,9,Uttar Pradesh,118,Agra,2012,Gangapur Basai,27.81944444,77.8875,,,,,,,,,,,,,,,,,,,,,,,No
29315,India,9,Uttar Pradesh,118,Agra,2012,Gautam Nagar,27.75,78.32777778,,,,,,,,,,,,,,,,,,,,,,,No
29316,India,9,Uttar Pradesh,118,Agra,2012,Gopalpura,27.69722222,77.83166667,,,,,,,,,,,,,,,,,,,,,,,No
29317,India,9,Uttar Pradesh,118,Agra,2012,Itimadpur,27.94638889,78.1575,,,,,,,,,,,,,,,,,,,,,,,No
29318,India,9,Uttar Pradesh,118,Agra,2012,Kagraul,27.71666667,77.93333333,,,,,,,,,,,,,,,,,,,,,,,No
29319,India,9,Uttar Pradesh,118,Agra,2012,Kakua,28.025,78.115,,,,,,,,,,,,,,,,,,,,,,,No
29320,India,9,Uttar Pradesh,118,Agra,2012,Kheragarh,28.00638889,77.56527778,,,,,,,,,,,,,,,,,,,,,,,No
29321,India,9,Uttar Pradesh,118,Agra,2012,Khundauli,27.96666667,77.91666667,,,,,,,,,,,,,,,,,,,,,,,No
29322,India,9,Uttar Pradesh,118,Agra,2012,Kiraoli,27.89111111,77.82666667,,,,,,,,,,,,,,,,,,,,,,,No
29323,India,9,Uttar Pradesh,118,Agra,2012,Kolua,27.94444444,78.17277778,,,,,,,,,,,,,,,,,,,,,,,No
29324,India,9,Uttar Pradesh,118,Agra,2012,Lohkhera,27.95,78.16666667,,,,,,,,,,,,,,,,,,,,,,,No
29325,India,9,Uttar Pradesh,118,Agra,2012,Malpura,28.04722222,78.53055556,,,,,,,,,,,,,,,,,,,,,,,No
29326,India,9,Uttar Pradesh,118,Agra,2012,Mewli (bhara),27.98888889,78.10277778,,,,,,,,,,,,,,,,,,,,,,,No
29327,India,9,Uttar Pradesh,118,Agra,2012,Nagla Udaiya,28.02333333,77.65333333,,,,,,,,,,,,,,,,,,,,,,,No
29328,India,9,Uttar Pradesh,118,Agra,2012,Natauli,28.055,77.95,,,,,,,,,,,,,,,,,,,,,,,No
29329,India,9,Uttar Pradesh,118,Agra,2012,Paitikhera Bagh,25.41666667,82.00416667,,,,,,,,,,,,,,,,,,,,,,,No
29330,India,9,Uttar Pradesh,118,Agra,2012,Pinahat,25.225,81.8625,,,,,,,,,,,,,,,,,,,,,,,No
29331,India,9,Uttar Pradesh,118,Agra,2012,Saiyan,25.45,81.975,,,,,,,,,,,,,,,,,,,,,,,No
29332,India,9,Uttar Pradesh,118,Agra,2012,Samai,25.57083333,81.74166667,,,,,,,,,,,,,,,,,,,,,,,No
29333,India,9,Uttar Pradesh,118,Agra,2012,Sarendhi Chauraha,25.11666667,81.675,,,,,,,,,,,,,,,,,,,,,,,No
29334,India,9,Uttar Pradesh,118,Agra,2012,Sehta Thapi,25.25,81.71666667,,,,,,,,,,,,,,,,,,,,,,,No
29335,India,9,Uttar Pradesh,118,Agra,2012,Shahganj Prithvi Nath,25.34027778,82.275,,,,,,,,,,,,,,,,,,,,,,,No
29336,India,9,Uttar Pradesh,118,Agra,2012,Zaitpurkalan,24.89583333,81.94583333,,,,,,,,,,,,,,,,,,,,,,,No
29337,India,9,Uttar Pradesh,118,Agra,2013,Bah road,25.42083333,82.02222222,,,,,,,,,,,,,,,,,,,,,,,No
29338,India,9,Uttar Pradesh,118,Agra,2013,Bhara (jagnair),24.87916667,82.01666667,,,,,,,,,,,,,,,,,,,,,,,No
29340,India,9,Uttar Pradesh,118,Agra,2013,Fatehabad,25.36527778,82.18611111,,,,,,,,,,,,,,,,,,,,,,,No
29341,India,9,Uttar Pradesh,118,Agra,2013,Fatehpur sikri,25.64166667,81.77222222,,,,,,,,,,,,,,,,,,,,,,,No
29342,India,9,Uttar Pradesh,118,Agra,2013,Gangapur Basai,25.40555556,82.29583333,,,,,,,,,,,,,,,,,,,,,,,No
29343,India,9,Uttar Pradesh,118,Agra,2013,Gautam Nagar,25.325,81.81666667,,,,,,,,,,,,,,,,,,,,,,,No
29344,India,9,Uttar Pradesh,118,Agra,2013,Gopalpura,25.27555556,81.775,,,,,,,,,,,,,,,,,,,,,,,No
29345,India,9,Uttar Pradesh,118,Agra,2013,Itimadpur,25.28333333,81.93833333,,,,,,,,,,,,,,,,,,,,,,,No
29346,India,9,Uttar Pradesh,118,Agra,2013,Kagraul,25.47,81.96666667,,,,,,,,,,,,,,,,,,,,,,,No
29347,India,9,Uttar Pradesh,118,Agra,2013,Kakua,25.01666667,82.0625,,,,,,,,,,,,,,,,,,,,,,,No
29348,India,9,Uttar Pradesh,118,Agra,2013,Kheragarh,25.125,81.98333333,,,,,,,,,,,,,,,,,,,,,,,No
29349,India,9,Uttar Pradesh,118,Agra,2013,Khundauli,25.535,81.81666667,,,,,,,,,,,,,,,,,,,,,,,No
29350,India,9,Uttar Pradesh,118,Agra,2013,Kiraoli,25.70333333,81.915,,,,,,,,,,,,,,,,,,,,,,,No
29351,India,9,Uttar Pradesh,118,Agra,2013,Kolua,25.14166667,82.1,,,,,,,,,,,,,,,,,,,,,,,No
29352,India,9,Uttar Pradesh,118,Agra,2013,Lohkhera,25.25,82.03,,,,,,,,,,,,,,,,,,,,,,,No
29353,India,9,Uttar Pradesh,118,Agra,2013,Malpura,25.45,82.12083333,,,,,,,,,,,,,,,,,,,,,,,No
29354,India,9,Uttar Pradesh,118,Agra,2013,Mewli (bhara),25.35416667,81.875,,,,,,,,,,,,,,,,,,,,,,,No
29355,India,9,Uttar Pradesh,118,Agra,2013,Nagla Udaiya,25.11944444,81.99166667,,,,,,,,,,,,,,,,,,,,,,,No
29356,India,9,Uttar Pradesh,118,Agra,2013,Natauli,25.07083333,81.7375,,,,,,,,,,,,,,,,,,,,,,,No
29357,India,9,Uttar Pradesh,118,Agra,2013,Paitikhera Bagh,25.55277778,82.09166667,,,,,,,,,,,,,,,,,,,,,,,No
29358,India,9,Uttar Pradesh,118,Agra,2013,Pinahat,25.49166667,82.21666667,,,,,,,,,,,,,,,,,,,,,,,No
29359,India,9,Uttar Pradesh,118,Agra,2013,Saiyan,25.27,81.84166667,,,,,,,,,,,,,,,,,,,,,,,No
29360,India,9,Uttar Pradesh,118,Agra,2013,Samai,25.19777778,81.6125,,,,,,,,,,,,,,,,,,,,,,,No
29361,India,9,Uttar Pradesh,118,Agra,2013,Sarendhi Chauraha,25.58333333,81.97361111,,,,,,,,,,,,,,,,,,,,,,,No
29362,India,9,Uttar Pradesh,118,Agra,2013,Sehta Thapi,26.45,82.5125,,,,,,,,,,,,,,,,,,,,,,,No
29363,India,9,Uttar Pradesh,118,Agra,2013,Shahganj Prithvi Nath,26.61333333,82.53833333,,,,,,,,,,,,,,,,,,,,,,,No
29364,India,9,Uttar Pradesh,118,Agra,2013,Zaitpurkalan,26.45,82.765,,,,,,,,,,,,,,,,,,,,,,,No
