Amount of Calcium (Ca),Amount of Magnesium (Mg),Amount of Sodium (Na),Amount of Potassium (K),Total Amount (N+K) (mg/L),Ca Weight (%) (meq/L),Mg Weight (%) (meq/L),Na Weight (%) (meq/L),K Weight (%) (meq/L),Total Amount (Na+K %) (meq/L),Total Weight Amount (Ca + Mg+ Na+K %) (meq/L),Ca Relative Conc (meq%),Mg Relative Conc (meq%),Na+K Relative Conc (meq%),Amount of Chloride (Cl),Amount of Sulfate (SO4),Amount of Carbonate (CO3),Amount of Hydrogencarbonate (HCO3),Cl Weight (%) (meq/L),SO4 Weight (%) (meq/L),CO3 Weight (%) (meq/L),HCO3 Weight (%) (meq/L),Total Amount (CO3+HCO3 %) (meq/L),Total Weight Amount (Cl + SO4+ CO3+HCO3 %) (meq/L),Cl Relative Conc (meq%),SO4 Relative Conc (meq%),CO3 + HCO3 Relative Conc (meq%),ROWID,District LGD Code,Amount of Total Dissolved Solids (TDS),"Amount of Potential of Hydrogen (H+, pH)",Country,State LGD Code,State,District,Year,Surface Water Station,Surface Water Station Latitude,Surface Water Station Longitude,Month
70.08,18.66,28.82,5.89,34.7,3.50,1.54,1.25,0.151,1.404,6.437,54.330,23.854,21.815,22.26,0.5,0,355.25,0.63,0.01,0.00,5.82,5.82,6.461,9.719,0.161,90.120,28653,392,238,8.1,India,23,Madhya Pradesh,Balaghat,2018,Kumhari,21.884,80.177,18-Apr
4.31,18.8,35,21.4,56.4,0.22,1.55,1.52,0.547,2.070,3.832,5.613,40.373,54.014,15.3,5.4,0,192.2,0.43,0.11,0.00,3.15,3.15,3.694,11.684,3.044,85.273,28671,392,113,8.1,India,23,Madhya Pradesh,Balaghat,2018,Kumhari,21.884,80.177,18-Aug
4.42,13.9,26,12,38.0,0.22,1.14,1.13,0.307,1.438,2.802,7.871,40.818,51.311,12.5,15.3,0,110.2,0.35,0.32,0.00,1.81,1.81,2.477,14.234,12.860,72.907,28672,392,75,7.8,India,23,Madhya Pradesh,Balaghat,2018,Rajegaon,21.626,80.254,18-Aug
43.2,12.83,20.76,1.49,22.3,2.16,1.06,0.90,0.038,0.941,4.153,51.914,25.423,22.663,41.18,15.6,0,211.15,1.16,0.32,0.00,3.46,3.46,4.947,23.482,6.566,69.953,28687,392,85,8.1,India,23,Madhya Pradesh,Balaghat,2017,Kumhari,21.884,80.177,17-Dec
36.48,9.91,17.11,2.15,19.3,1.82,0.82,0.74,0.055,0.799,3.435,52.995,23.739,23.266,14.41,28.4,0,161.7,0.41,0.59,0.00,2.65,2.65,3.648,11.143,16.210,72.647,28688,392,85,7.7,India,23,Madhya Pradesh,Balaghat,2017,Rajegaon,21.626,80.254,17-Dec
56.64,21.57,23.23,1.49,24.7,2.83,1.77,1.01,0.038,1.049,5.650,50.027,31.415,18.558,28.83,4.32,0,267.05,0.81,0.09,0.00,4.38,4.38,5.280,15.403,1.704,82.894,28707,392,193,7.8,India,23,Madhya Pradesh,Balaghat,2018,Kumhari,21.884,80.177,18-Feb
48.96,16.32,21.34,2.02,23.4,2.44,1.34,0.93,0.052,0.980,4.766,51.263,28.177,20.560,12.35,28.6,0,208.25,0.35,0.60,0.00,3.41,3.41,4.357,7.996,13.668,78.336,28727,392,193,8,India,23,Madhya Pradesh,Balaghat,2018,Kumhari,21.884,80.177,18-Jan
32.64,12.83,18,2.41,20.4,1.63,1.06,0.78,0.062,0.845,3.529,46.153,29.915,23.932,14.41,11,0,142.1,0.41,0.23,0.00,2.33,2.33,2.964,13.712,7.726,78.562,28728,392,238,7.6,India,23,Madhya Pradesh,Balaghat,2018,Rajegaon,21.626,80.254,18-Jan
80,9.82,15.31,2.97,18.3,3.99,0.81,0.67,0.076,0.742,5.542,72.033,14.580,13.387,14.1,6.1,0,233.1,0.40,0.13,0.00,3.82,3.82,4.345,9.154,2.923,87.923,28747,392,130,8,India,23,Madhya Pradesh,Balaghat,2018,Kumhari,21.884,80.177,18-Jul
50,2.48,15.78,4.51,20.3,2.50,0.20,0.69,0.115,0.802,3.501,71.270,5.829,22.901,9.4,31.6,0,266.4,0.27,0.66,0.00,4.37,4.37,5.289,5.013,12.440,82.547,28748,392,70,7.7,India,23,Madhya Pradesh,Balaghat,2018,Rajegaon,21.626,80.254,18-Jul
146,5.37,27.44,4.13,31.6,7.29,0.44,1.19,0.106,1.299,9.027,80.712,4.895,14.393,56.06,10.8,0,337.3,1.58,0.22,0.00,5.53,5.53,7.334,21.561,3.066,75.373,28765,392,197,6.9,India,23,Madhya Pradesh,Balaghat,2018,Kumhari,21.884,80.177,18-Jun
60.48,8.75,21.65,2.02,23.7,3.02,0.72,0.94,0.052,0.993,4.732,63.788,15.217,20.995,42.93,0.09,0,222.95,1.21,0.00,0.00,3.65,3.65,4.867,24.883,0.039,75.079,28783,392,178,7.7,India,23,Madhya Pradesh,Balaghat,2018,Kumhari,21.884,80.177,18-Mar
55.68,16.91,25.77,1.85,27.6,2.78,1.39,1.12,0.047,1.168,5.338,52.050,26.066,21.884,15.9,3.8,0,328.3,0.45,0.08,0.00,5.38,5.38,5.908,7.591,1.339,91.069,28803,392,229,8.1,India,23,Madhya Pradesh,Balaghat,2018,Kumhari,21.884,80.177,18-May
40.32,11.08,19.53,1.49,21.0,2.01,0.91,0.85,0.038,0.888,3.811,52.791,23.921,23.288,12.35,0.4,0,210.7,0.35,0.01,0.00,3.45,3.45,3.810,9.144,0.219,90.637,28819,392,85,8,India,23,Madhya Pradesh,Balaghat,2017,Kumhari,21.884,80.177,17-Nov
34.56,4.66,14.67,2.07,16.7,1.72,0.38,0.64,0.053,0.691,2.799,61.613,13.699,24.688,18.53,17.44,0,151.9,0.52,0.36,0.00,2.49,2.49,3.375,15.486,10.758,73.756,28820,392,85,7.9,India,23,Madhya Pradesh,Balaghat,2017,Rajegaon,21.626,80.254,17-Nov
26.04,5.1,12.03,1.6,13.6,1.30,0.42,0.52,0.041,0.564,2.283,56.911,18.380,24.709,10.22,2.9,0,136.64,0.29,0.06,0.00,2.24,2.24,2.588,11.139,2.333,86.528,28857,392,82,7.5,India,23,Madhya Pradesh,Balaghat,2018,Kumhari,21.884,80.177,18-Sep
19.32,13.26,19.12,1.99,21.1,0.96,1.09,0.83,0.051,0.883,2.938,32.818,37.141,30.041,20.45,6.5,0,153.72,0.58,0.14,0.00,2.52,2.52,3.232,17.851,4.188,77.961,28858,392,55,7.2,India,23,Madhya Pradesh,Balaghat,2018,Rajegaon,21.626,80.254,18-Sep
24,14.82,22.1,1.9,24.0,1.20,1.22,0.96,0.049,1.010,3.427,34.947,35.585,29.468,10.8,7.89,6.07,142,0.30,0.16,0.20,2.33,2.53,2.998,10.160,5.479,84.361,28870,393,175,8.42,India,23,Madhya Pradesh,Barwani,2011,Pati,21.944,74.745,11-Aug
27.12,10.94,15.24,1.91,17.2,1.35,0.90,0.66,0.049,0.712,2.965,45.639,30.358,24.002,11.7,21.21,0,115,0.33,0.44,0.00,1.88,1.88,2.656,12.424,16.625,70.951,28871,393,166,8.05,India,23,Madhya Pradesh,Barwani,2012,Pati,21.944,74.745,12-Aug
13.76,32.08,14.46,2.88,17.3,0.69,2.64,0.63,0.074,0.703,4.029,17.043,65.518,17.439,12.6,18.39,9.23,163,0.36,0.38,0.31,2.67,2.98,3.717,9.561,10.300,80.138,28872,393,200,8.37,India,23,Madhya Pradesh,Barwani,2013,Pati,21.944,74.745,13-Aug
27.2,19.93,11.14,0.81,12.0,1.36,1.64,0.48,0.021,0.505,3.503,38.753,46.822,14.426,8.8,30.32,0,160,0.25,0.63,0.00,2.62,2.62,3.502,7.089,18.028,74.883,28873,393,173,7.92,India,23,Madhya Pradesh,Barwani,2014,Pati,21.944,74.745,14-Aug
23.2,29.65,15.25,2.15,17.4,1.16,2.44,0.66,0.055,0.718,4.316,26.825,56.531,16.644,10.4,25.24,5.61,219,0.29,0.53,0.19,3.59,3.78,4.595,6.384,11.437,82.179,28874,393,219,8.31,India,23,Madhya Pradesh,Barwani,2015,Pati,21.944,74.745,15-Aug
35.68,22.6,20.6,1.2,21.8,1.78,1.86,0.90,0.031,0.927,4.567,38.987,40.721,20.292,28.2,3.01,0,228,0.80,0.06,0.00,3.74,3.74,4.595,17.312,1.364,81.324,28879,393,298,8.18,India,23,Madhya Pradesh,Barwani,2011,Pati,21.944,74.745,11-Dec
44.96,23.33,30.27,0.94,31.2,2.24,1.92,1.32,0.024,1.341,5.504,40.763,34.879,24.358,19.5,17.28,0,257,0.55,0.36,0.00,4.21,4.21,5.122,10.740,7.025,82.236,28880,393,293,8.15,India,23,Madhya Pradesh,Barwani,2012,Pati,21.944,74.745,12-Dec
40.4,6.8,26.02,0.8,26.8,2.02,0.56,1.13,0.020,1.152,3.728,54.081,15.010,30.909,10.1,15.93,0,238,0.28,0.33,0.00,3.90,3.90,4.517,6.307,7.343,86.350,28881,393,297,8.2,India,23,Madhya Pradesh,Barwani,2013,Pati,21.944,74.745,13-Dec
