,Amount of Calcium (Ca),Amount of Magnesium (Mg),Amount of Sodium (Na),Amount of Potassium (K),Total Amount (N+K) (mg/L),Ca Weight (%) (meq/L),Mg Weight (%) (meq/L),Na Weight (%) (meq/L),K Weight (%) (meq/L),Total Amount (Na+K %) (meq/L),Total Weight Amount (Ca + Mg+ Na+K %) (meq/L),Ca Relative Conc (meq%),Mg Relative Conc (meq%),Na+K Relative Conc (meq%),Amount of Chloride (Cl),Amount of Sulfate (SO4),Amount of Carbonate (CO3),Amount of Hydrogencarbonate (HCO3),Cl Weight (%) (meq/L),SO4 Weight (%) (meq/L),CO3 Weight (%) (meq/L),HCO3 Weight (%) (meq/L),Total Amount (CO3+HCO3 %) (meq/L),Total Weight Amount (Cl + SO4+ CO3+HCO3 %) (meq/L),Cl Relative Conc (meq%),SO4 Relative Conc (meq%),CO3 + HCO3 Relative Conc (meq%),ROWID,District LGD Code,Amount of Total Dissolved Solids (TDS),"Amount of Potential of Hydrogen (H+, pH)",Country,State LGD Code,State,District,Year,Surface Water Station,Surface Water Station Latitude,Surface Water Station Longitude,Month
324,8.92,8.26,11.08,3.28,14.36,0.4451319926144019,0.6796955358979634,0.4819486733362332,0.08389175916926697,0.5658404325055002,1.6906679610178654,26.328764895172586,40.20278088719166,33.46845421763575,24.0,2.0,0.2,111.8,0.6770098730606487,0.04164237528108603,0.006665777896280496,1.8323062803199162,1.8389720582161966,2.5576243065579316,26.470262709216012,1.628166231229192,71.90157105955478,13587,229,184.0,14.2,India,12,Arunachal Pradesh,Changlang,2018,Miao,27.48694444,96.20944444,2022-01-18
332,17.6,1.0,12.12,2.76,14.879999999999999,0.8782873396876092,0.0822875951450319,0.5271857329273597,0.07059184613023683,0.5977775790575965,1.5583525138902377,56.35999119962091,5.280422395547135,38.35958640483195,2.0,15.34,0.4,75.6,0.05641748942172073,0.3193970184059299,0.013331555792560993,1.2390192736331453,1.2523508294257064,1.6281653372533569,3.4650958432080703,19.61698920238276,76.91791495440918,13643,229,84.0,15.4,India,12,Arunachal Pradesh,Changlang,2018,Miao,27.48694444,96.20944444,2022-10-18
343,52.66,2.4,7.12,0.21,7.33,2.62787564249713,0.19749022834807653,0.309699869508482,0.005371118727300629,0.3150709882357826,3.1404368590809892,83.67866511623309,6.288622800264473,10.03271208350243,48.0,1.0,0.1,95.9,1.3540197461212975,0.020821187640543016,0.003332888948140248,1.5717188934050086,1.575051782353149,2.9498927161149897,45.90064373271657,0.7058286400315104,53.39352762725192,13698,231,322.0,7.3,India,12,Arunachal Pradesh,East Kameng,2018,Seppa,27.35583333,93.04527778,2022-01-18
352,37.6,4.8,27.85,5.85,33.7,1.876341134787165,0.39498045669615306,1.2113962592431493,0.14962402168908895,1.3610202809322383,3.6323418724155565,51.65651253909569,10.873989028832403,37.4694984320719,68.0,16.34,0.2,86.0,1.9181946403385048,0.3402182060464729,0.006665777896280496,1.4094663694768585,1.416132147373139,3.6745449937581167,52.2022357488317,9.258784601206283,38.53897964996203,13754,231,225.0,7.4,India,12,Arunachal Pradesh,East Kameng,2018,Seppa,27.35583333,93.04527778,2022-10-18
365,13.38,6.2,10.92,0.38,11.3,0.6676979889216028,0.5101830898991977,0.4749891257068291,0.00971916722082971,0.4847082929276588,1.6625893717484592,40.160126142236756,30.68605505174525,29.153818806018002,55.04,2.4,0.02,195.2,1.5526093088857544,0.04997085033730324,0.0006665777896280496,3.199160875835846,3.199827453625474,4.802407612848532,32.3298110875022,1.0405374629927175,66.62965144950508,13809,232,296.0,17.2,India,12,Arunachal Pradesh,East Siang,2018,Passighat,28.07305556,95.34027778,2022-01-18
376,41.6,2.0,4.74,3.04,7.78,2.0759518938070762,0.1645751902900638,0.20617659852109615,0.07775333776663768,0.28392993628773383,2.5244570203848737,82.23360021754621,6.519231223234411,11.247168559219377,6.0,32.0,0.4,103.4,0.1692524682651622,0.6662780044973765,0.013331555792560993,1.6946374721384556,1.7079690279310167,2.5434995006935552,6.65431497898902,26.19532672664954,67.15035829436145,13865,232,130.0,15.4,India,12,Arunachal Pradesh,East Siang,2018,Passighat,28.07305556,95.34027778,2022-10-18
384,32.0,4.32,4.8,1.04,5.84,1.5968860721592892,0.35548241102653777,0.20878642888212268,0.02659982607806026,0.23538625496018295,2.18775473814601,72.99200611091139,16.248732311181627,10.759261577906972,5.0,1.0,0.9,95.1,0.1410437235543018,0.020821187640543016,0.02999600053326223,1.5586075783401074,1.5886035788733697,1.7504684900682146,8.057484288037966,1.1894637212082364,90.75305199075379,13920,234,137.0,8.0,India,12,Arunachal Pradesh,Lohit,2018,Tezu,27.91083333,96.17055556,2022-01-18
391,24.8,6.7,5.2,4.07,9.27,1.2375867059234493,0.5513268874717137,0.2261852979556329,0.10409739628625506,0.33028269424188794,2.1191962876370507,58.398870984404425,26.015848116006985,15.585280899588598,1.0,5.0,1.4,94.5,0.028208744710860365,0.10410593820271509,0.046660445273963465,1.548774092041432,1.5954345373153953,1.7277492202289708,1.632687451430132,6.025523668818002,92.34178887975186,13976,234,100.0,8.2,India,12,Arunachal Pradesh,Lohit,2018,Tezu,27.91083333,96.17055556,2022-10-18
392,8.8,1.0,,,0.0,0.4391436698438046,0.0822875951450319,0.0,0.0,0.0,0.5214312649888365,84.21889889038516,15.781101109614823,0.0,1.0,8.0,0.1,31.9,0.028208744710860365,0.16656950112434413,0.003332888948140248,0.5228136882129277,0.5261465771610679,0.7209248229962724,3.9128552396934486,23.10497513902436,72.9821696212822,14409,241,45.0,7.6,India,12,Arunachal Pradesh,Upper Subansiri,2018,Daporizo,27.98944444,94.22805556,2022-10-18
393,12.0,1.0,,,0.0,0.5988322770597335,0.0822875951450319,0.0,0.0,0.0,0.6811198722047654,87.9187792776227,12.081220722377298,0.0,19.0,0.2,0.1,31.9,0.5359661495063469,0.004164237528108604,0.003332888948140248,0.5228136882129277,0.5261465771610679,1.0662769641955234,50.2651907059362,0.3905399504949829,49.34426934356882,14410,241,76.0,7.3,India,12,Arunachal Pradesh,Upper Subansiri,2018,Lemeking,28.37194444,93.56666667,2022-10-18
402,41.6,10.32,4.68,2.3,6.9799999999999995,2.0759518938070762,0.8492079818967291,0.2035667681600696,0.05882653844186403,0.2623933066019336,3.187553182305739,65.12681593301046,26.641374538022564,8.231809528966966,72.24,2.8,0.2,165.92,2.0377997179125527,0.058299325393520444,0.006665777896280496,2.719286744460469,2.72595252235675,4.822051565662823,42.26001506129567,1.2090149721471677,56.53096996655716,14586,678,190.0,13.8,India,12,Arunachal Pradesh,Namsai,2018,Namsai,27.66611111,95.83027778,2022-01-18
409,22.4,2.0,10.4,3.5,13.9,1.1178202505115025,0.1645751902900638,0.4523705959112658,0.0895186454550105,0.5418892413662764,1.8242846821678427,61.27444150784454,9.021354610865613,29.70420388128984,2.0,10.0,0.4,91.6,0.05641748942172073,0.20821187640543018,0.013331555792560993,1.5012455749311655,1.5145771307237266,1.7792064965508776,3.170935444035876,11.702513272577647,85.12655128338648,14642,678,94.0,15.2,India,12,Arunachal Pradesh,Namsai,2018,Namsai,27.66611111,95.83027778,2022-10-18
416,48.36,14.24,6.84,2.88,9.719999999999999,2.413294076550726,1.171775354865254,0.2975206611570248,0.07366105683155148,0.3711817179885763,3.9562511494045562,60.99951659828127,29.618325799200452,9.382157602518278,4.86,69.44,1.4,138.0,0.13709449929478137,1.445823269759307,0.046660445273963465,2.261701848695424,2.3083622939693877,3.8912800630234763,3.5231208516063646,37.155466744686585,59.32141240370704,16742,280,248.0,16.06,India,18,Assam,Barpeta,2018,Beki Road bridge,26.49444444,90.91527778,2022-11-18
417,53.36,11.22,10.06,3.36,13.42,2.662807525325615,0.9232668175272578,0.4375815571987821,0.08593789963681006,0.5235194568355922,4.109593799688465,64.79490808866497,22.466133212417432,12.738958698917605,8.74,46.94,0.66,192.0,0.2465444287729196,0.9773465478470892,0.021997067057725635,3.1467156155762424,3.1687126826339678,4.392603659253977,5.612717374432815,22.249823195136116,72.13745943043105,16751,280,236.0,15.14,India,18,Assam,Barpeta,2018,Beki Road bridge,26.49444444,90.91527778,2022-10-18
418,13.46,8.18,4.5,4.18,8.68,0.6716902041020011,0.6731125282863608,0.19573727707699,0.10691083942912681,0.30264811650611684,1.6474508488944788,40.7714867216062,40.85782156949039,18.370691708903408,7.28,42.7,1.04,66.0,0.20535966149506346,0.8890647122511869,0.03466204506065858,1.0816834928543333,1.1163455379149918,2.2107699116612425,9.289056288121351,40.2151624898457,50.49578122203294,16760,280,168.0,16.44,India,18,Assam,Barpeta,2018,Beki Road bridge,26.49444444,90.91527778,2022-09-18
